name,description,category,type,style_tag,cut_type,weather_suitability,gender,color,image_url,suitable_body_types
Midi Skirt,Warm turtleneck style,tops,pants,trendy,fitted,spring,female,['red'],https://example.com/images/item_1.jpg,['inverted_triangle']
Maxi Dress,Flowy mid-length skirt,jumpsuits,pants,trendy,fitted,spring,male,['pink'],https://example.com/images/item_2.jpg,['pear']
Skinny Fit Jeans,Flattering dress with waist tie,jumpsuits,jacket,chic,fitted,fall,male,"['red', 'gray']",https://example.com/images/item_3.jpg,['apple']
Denim Jacket,Relaxed fit with utility pockets,dresses,dress,casual,fitted,spring,male,['red'],https://example.com/images/item_4.jpg,"['rectangle', 'hourglass']"
Cardigan Sweater,Casual one-piece for everyday wear,jumpsuits,shirt,vintage,oversized,summer,unisex,"['red', 'pink', 'beige']",https://example.com/images/item_5.jpg,['inverted_triangle']
Skinny Fit Jeans,High-rise trousers with wide leg,outerwear,jumpsuit,formal,relaxed,fall,male,"['beige', 'purple', 'green']",https://example.com/images/item_6.jpg,"['apple', 'rectangle', 'hourglass']"
Cardigan Sweater,Short length trendy top,jumpsuits,blouse,casual,straight,summer,male,"['white', 'green']",https://example.com/images/item_7.jpg,['inverted_triangle']
Linen Shirt,Open front soft knit sweater,jumpsuits,dress,minimalist,flared,fall,unisex,"['pink', 'purple']",https://example.com/images/item_8.jpg,"['hourglass', 'apple', 'rectangle']"
Boho Floral Blouse,Comfortable cotton shorts,jumpsuits,dress,trendy,oversized,spring,female,['pink'],https://example.com/images/item_9.jpg,"['inverted_triangle', 'apple']"
Peplum Top,Sleeveless casual tank,bottoms,dress,casual,A-line,fall,female,"['green', 'navy']",https://example.com/images/item_10.jpg,"['hourglass', 'rectangle', 'inverted_triangle']"
Wide-Leg Trousers,Breathable button-up for summer days,dresses,dress,chic,relaxed,spring,female,"['blue', 'black', 'green']",https://example.com/images/item_11.jpg,"['pear', 'hourglass']"
Peplum Top,Comfortable cotton shorts,tops,skirt,street,oversized,summer,female,"['navy', 'purple']",https://example.com/images/item_12.jpg,"['pear', 'rectangle']"
Boho Floral Blouse,Professional office skirt,tops,pants,formal,relaxed,fall,unisex,['gray'],https://example.com/images/item_13.jpg,"['inverted_triangle', 'apple', 'rectangle']"
Sweat Shorts,Casual cotton V-neck,outerwear,shirt,boho,A-line,winter,male,"['navy', 'gray', 'blue']",https://example.com/images/item_14.jpg,"['inverted_triangle', 'hourglass', 'pear']"
Oversized Hoodie,Classic blue jacket with buttons,outerwear,skirt,minimalist,fitted,spring,unisex,"['blue', 'green', 'red']",https://example.com/images/item_15.jpg,"['rectangle', 'hourglass', 'pear']"
Sweat Shorts,Denim jeans with narrow fit,bottoms,blouse,vintage,flared,spring,male,['black'],https://example.com/images/item_16.jpg,"['inverted_triangle', 'apple', 'pear']"
